number,value,datetime_start,datetime_complete,duration,params_attention_reg_weight,params_attn_heads,params_dropout,params_hidden_dim,params_kernel_size,params_low_rank_dim,params_lr,params_num_scales,params_temp_conv_out_channels,params_weight_decay,user_attrs_best_efficiency,user_attrs_best_pcc,user_attrs_best_pcc_epoch,user_attrs_best_rmse,user_attrs_best_rmse_epoch,user_attrs_epochs_trained,user_attrs_final_pcc,user_attrs_final_rmse,user_attrs_param_count,user_attrs_test_pcc,user_attrs_test_rmse,state
35,476.53660171140973,2025-04-03 19:39:22.605352,2025-04-03 19:39:46.132990,0 days 00:00:23.527638,0.001,16,0.46207489074777386,24,7,4,0.0005,2,16,0.0,476.53660171140973,0.8661228687497184,68.0,952.576904296875,68.0,102.0,0.8509258176325089,997.3179931640625,19661,0.8915621279411654,1051.1239013671875,COMPLETE
36,740.7249445171949,2025-04-03 19:39:46.134748,2025-04-03 19:40:21.519915,0 days 00:00:35.385167,0.001,16,0.39336564692827647,24,7,4,0.0001,3,16,0.0,740.7249445171949,0.646311587277995,100.0,1480.83544921875,100.0,102.0,0.6462153642841164,1496.5155029296875,23766,0.5664458232891609,1723.9072265625,COMPLETE
37,484.95309003436677,2025-04-03 19:40:21.521152,2025-04-03 19:40:43.995365,0 days 00:00:22.474213,0.0001,16,0.43491515982193946,24,9,4,0.0005,2,16,0.0005,484.95309003436677,0.8601588685371424,90.0,969.40185546875,84.0,101.0,0.8503533024915741,1004.7155151367188,21967,0.852604731193068,1147.4844970703125,COMPLETE
38,488.4189521162432,2025-04-03 19:40:43.996644,2025-04-03 19:41:19.502885,0 days 00:00:35.506241,1e-05,16,0.3635048341485433,24,7,4,0.001,3,16,0.0,488.4189521162432,0.8603049114490742,37.0,976.3300170898438,55.0,101.0,0.855208586438059,999.1734008789062,23766,0.8819071705387194,1064.0477294921875,COMPLETE
39,772.0844976435966,2025-04-03 19:41:19.504342,2025-04-03 19:42:09.711197,0 days 00:00:50.206855,1e-06,16,0.45728755788113845,24,3,4,5e-05,4,16,0.001,772.0844976435966,0.6310149477649128,84.0,1543.5535888671875,92.0,101.0,0.6273607168141899,1544.9764404296875,18651,0.5404073549323934,1765.8262939453125,COMPLETE
40,478.32547450477347,2025-04-03 19:42:09.712456,2025-04-03 19:42:29.748850,0 days 00:00:20.036394,0.001,16,0.411267307323344,24,7,4,0.0005,2,12,0.0,478.32547450477347,0.8652947812323516,74.0,956.1542358398438,74.0,102.0,0.8311898860843385,1061.4794921875,19661,0.8857363446543289,1069.5447998046875,COMPLETE
41,477.16100708753936,2025-04-03 19:42:29.750435,2025-04-03 19:42:51.187583,0 days 00:00:21.437148,0.001,16,0.4118713377636083,24,7,4,0.0005,2,12,0.0,477.16100708753936,0.866670309543764,65.0,953.8259887695312,65.0,102.0,0.8333755523180618,1054.129638671875,19661,0.8902737752083221,1049.35693359375,COMPLETE
42,478.68260762611976,2025-04-03 19:42:51.188889,2025-04-03 19:43:11.939250,0 days 00:00:20.750361,0.001,16,0.413490489196869,24,7,4,0.0005,2,12,0.0,478.68260762611976,0.8661665365192679,66.0,956.8678588867188,74.0,102.0,0.8363305519749558,1044.895263671875,19661,0.8868110416375687,1095.61181640625,COMPLETE
43,476.7855611493295,2025-04-03 19:43:11.940798,2025-04-03 19:43:32.508926,0 days 00:00:20.568128,0.001,16,0.4023061897814937,24,7,4,0.0005,2,12,0.0,476.7855611493295,0.865768515508193,57.0,953.0746459960938,57.0,102.0,0.8371432796294285,1042.3194580078125,19661,0.8985483655974322,1092.2305908203125,COMPLETE
44,769.8338586227973,2025-04-03 19:43:32.510496,2025-04-03 19:43:53.932910,0 days 00:00:21.422414,0.001,16,0.40590090528662853,24,7,4,0.0001,2,12,0.0005,769.8338586227973,0.6183932085460683,97.0,1539.04345703125,102.0,102.0,0.6102006919493643,1539.04345703125,19661,0.5138893554127357,1779.40673828125,COMPLETE
