number,value,datetime_start,datetime_complete,duration,params_attention_reg_weight,params_attn_heads,params_dropout,params_hidden_dim,params_kernel_size,params_low_rank_dim,params_lr,params_num_scales,params_temp_conv_out_channels,params_weight_decay,user_attrs_beats_target,user_attrs_best_efficiency,user_attrs_best_pcc,user_attrs_best_pcc_epoch,user_attrs_best_rmse,user_attrs_best_rmse_epoch,user_attrs_epochs_trained,user_attrs_final_pcc,user_attrs_final_rmse,user_attrs_param_count,user_attrs_test_pcc,user_attrs_test_rmse,state
10,864.4135316275164,2025-04-04 01:18:38.840903,2025-04-04 01:18:47.187897,0 days 00:00:08.346994,1e-05,2,0.2851055702537507,16,5,8,0.0002,2,16,1e-05,,,,,,,,,,10303,,,PRUNED
11,885.9845525945057,2025-04-04 01:18:47.188373,2025-04-04 01:19:00.100686,0 days 00:00:12.912313,1e-05,2,0.29180546650844086,16,5,8,0.0002,2,16,1e-05,,,,,,,,,,10303,,,PRUNED
12,916.9717951841113,2025-04-04 01:19:00.101330,2025-04-04 01:19:19.134457,0 days 00:00:19.033127,1e-06,2,0.31094105195831523,16,5,8,0.0002,2,16,1e-05,,,,,,,,,,10303,,,PRUNED
13,615.9635165514482,2025-04-04 01:19:19.135174,2025-04-04 01:19:51.272771,0 days 00:00:32.137597,1e-06,8,0.32008646447903993,24,5,8,0.0002,3,16,1e-05,False,615.9635165514482,0.7763904945472588,126.0,879.7586669921875,121.0,221.0,0.6386561564054468,1046.622314453125,21320,0.7631761503089222,1037.326171875,COMPLETE
14,623.011515207106,2025-04-04 01:19:51.274413,2025-04-04 01:20:12.749753,0 days 00:00:21.475340,0.0,8,0.3369886974506025,24,7,8,0.0002,3,24,1e-05,False,623.011515207106,0.7769688825675928,47.0,889.8233032226562,38.0,138.0,0.6500716039727215,1067.6964111328125,24778,0.7564191395492884,1058.5421142578125,COMPLETE
15,655.0827620379442,2025-04-04 01:20:12.751273,2025-04-04 01:20:49.921892,0 days 00:00:37.170619,0.0,8,0.337013090781074,24,7,6,0.0002,3,24,0.0001,False,655.0827620379442,0.7435992215970112,80.0,935.6278076171875,120.0,220.0,0.6433146570078333,1032.9613037109375,23088,0.729039679695244,1069.633056640625,COMPLETE
16,869.5509517061391,2025-04-04 01:20:49.923332,2025-04-04 01:21:04.349888,0 days 00:00:14.426556,0.0,8,0.3346473625383086,24,7,8,0.0002,4,24,1e-05,,,,,,,,,,28883,,,PRUNED
17,625.0019764728623,2025-04-04 01:21:04.350557,2025-04-04 01:21:31.643745,0 days 00:00:27.293188,1e-06,8,0.3469992513862396,32,7,8,0.0001,4,12,1e-05,False,625.0019764728623,0.7922157086850048,70.0,892.6638793945312,75.0,175.0,0.5719042662250196,1110.9130859375,46403,0.7730209032599313,1045.970458984375,COMPLETE
18,916.8844333331233,2025-04-04 01:21:31.645199,2025-04-04 01:21:38.980669,0 days 00:00:07.335470,1e-06,8,0.24752001448594985,24,7,8,0.0005,3,24,1e-05,,,,,,,,,,24778,,,PRUNED
19,918.5553280463437,2025-04-04 01:21:38.981248,2025-04-04 01:22:01.198218,0 days 00:00:22.216970,0.0,8,0.265801325413043,24,5,12,0.0002,4,24,0.0001,,,,,,,,,,27653,,,PRUNED
20,618.7369774621839,2025-04-04 01:22:01.199050,2025-04-04 01:22:33.326376,0 days 00:00:32.127326,0.0,8,0.35965475244807016,24,7,6,0.0002,3,12,0.0005,False,618.7369774621839,0.7534211405425032,118.0,883.7141723632812,120.0,220.0,0.6668420285232033,1003.1756591796875,23088,0.759534924121205,1015.1968994140625,COMPLETE
21,636.4486243581215,2025-04-04 01:22:33.327800,2025-04-04 01:23:05.200828,0 days 00:00:31.873028,0.0,8,0.3623575407785249,24,7,6,0.0002,3,12,0.0005,False,636.4486243581215,0.7537397115050235,80.0,909.0103149414062,120.0,220.0,0.6809046533852412,988.6103515625,23088,0.7397446126204497,1035.0396728515625,COMPLETE
22,627.8842902852231,2025-04-04 01:23:05.202264,2025-04-04 01:23:48.052487,0 days 00:00:42.850223,0.0,8,0.31374515288508265,24,7,6,0.0002,3,12,0.0005,False,627.8842902852231,0.7507337004889632,80.0,896.7760009765625,187.0,287.0,0.6737052464773473,989.70751953125,23088,0.7535342423746174,998.7236328125,COMPLETE
23,637.4845153560873,2025-04-04 01:23:48.054024,2025-04-04 01:24:20.232910,0 days 00:00:32.178886,1e-06,8,0.3158278737911783,24,7,6,0.0002,3,12,0.0005,False,637.4845153560873,0.7483994012881874,80.0,910.4906616210938,120.0,220.0,0.6744423735916707,980.4664306640625,23088,0.7399482321337015,1043.459228515625,COMPLETE
24,,2025-04-04 01:24:20.235062,2025-04-04 01:24:20.296538,0 days 00:00:00.061476,0.0,8,0.3981433068017029,32,7,16,0.0002,4,8,1e-06,,,,,,,,,,54123,,,PRUNED
25,920.1910570621384,2025-04-04 01:24:20.296965,2025-04-04 01:24:32.645821,0 days 00:00:12.348856,0.0,8,0.36154468027477393,24,5,6,0.0002,2,12,0.0005,,,,,,,,,,16677,,,PRUNED
26,655.4415982335277,2025-04-04 01:24:32.646630,2025-04-04 01:25:15.563465,0 days 00:00:42.916835,1e-06,8,0.2898427928902313,24,7,8,5e-05,5,24,1e-05,False,655.4415982335277,0.7326679164346199,152.0,936.134033203125,137.0,237.0,0.666080683177328,1002.9065551757812,32988,0.7679417866466474,1028.4449462890625,COMPLETE
27,828.5427274155368,2025-04-04 01:25:15.565839,2025-04-04 01:25:37.405311,0 days 00:00:21.839472,0.0,8,0.3569504419037653,24,5,8,0.0005,3,24,1e-05,,,,,,,,,,21320,,,PRUNED
28,585.4397538655894,2025-04-04 01:25:37.406181,2025-04-04 01:26:25.447532,0 days 00:00:48.041351,1e-05,8,0.32916760518843796,24,7,6,0.0001,4,12,0.0005,False,585.4397538655894,0.8025895489642036,121.0,836.1526489257812,209.0,309.0,0.6898168087223479,967.8438720703125,27193,0.7960330396955981,967.1922607421875,COMPLETE
29,619.8259944206604,2025-04-04 01:26:25.449247,2025-04-04 01:26:55.724177,0 days 00:00:30.274930,1e-05,16,0.3717435762374359,32,5,6,0.0001,4,12,0.0005,False,619.8259944206604,0.7770089122623653,74.0,885.2662963867188,80.0,180.0,0.5797581144789933,1121.6505126953125,37239,0.7861104149233915,1038.54248046875,COMPLETE
30,611.2918400978708,2025-04-04 01:26:55.725732,2025-04-04 01:27:40.768817,0 days 00:00:45.043085,1e-05,8,0.3198872884915093,24,7,6,0.0001,5,12,0.0005,False,611.2918400978708,0.8018855443489272,152.0,873.0862426757812,174.0,274.0,0.7527456741274995,924.65966796875,31298,0.7792176756270621,1051.965576171875,COMPLETE
31,611.5135858773738,2025-04-04 01:27:40.770502,2025-04-04 01:28:29.625754,0 days 00:00:48.855252,1e-05,8,0.3023684016244656,24,7,6,0.0001,5,12,0.0005,False,611.5135858773738,0.802826588219046,152.0,873.4019775390625,174.0,274.0,0.737422088096161,950.1928100585938,31298,0.7700471439642694,1060.85546875,COMPLETE
32,611.8715161739749,2025-04-04 01:28:29.627474,2025-04-04 01:29:13.792322,0 days 00:00:44.164848,1e-05,8,0.31421632547714134,24,7,6,0.0001,5,12,0.0005,False,611.8715161739749,0.8028119747729403,152.0,873.9142456054688,174.0,274.0,0.7358880461562245,940.689697265625,31298,0.779717955198828,1052.719482421875,COMPLETE
33,611.2385520830018,2025-04-04 01:29:13.794025,2025-04-04 01:29:59.069695,0 days 00:00:45.275670,1e-05,8,0.2721949897351723,24,7,6,0.0001,5,12,0.0005,False,611.2385520830018,0.8001290366134561,152.0,873.0111694335938,167.0,267.0,0.6998549960437277,1007.2747192382812,31298,0.7725583031673272,1068.2464599609375,COMPLETE
34,614.063277984347,2025-04-04 01:29:59.071363,2025-04-04 01:30:42.487900,0 days 00:00:43.416537,1e-05,8,0.23902261558063811,24,7,6,0.0001,5,12,0.0005,False,614.063277984347,0.7852497185452091,152.0,877.0430908203125,161.0,261.0,0.7188570412965035,946.2330932617188,31298,0.7604507546143497,1061.9456787109375,COMPLETE
35,584.3826207443865,2025-04-04 01:30:42.489573,2025-04-04 01:31:19.906222,0 days 00:00:37.416649,1e-05,4,0.27429578320269327,24,7,6,0.0001,5,12,0.0005,False,584.3826207443865,0.7971961230525921,83.0,834.6424560546875,130.0,230.0,0.6895933916470994,987.5964965820312,30818,0.7908458378112089,964.91552734375,COMPLETE
36,585.9767670631435,2025-04-04 01:31:19.907752,2025-04-04 01:31:53.315708,0 days 00:00:33.407956,1e-05,4,0.21651568731238166,24,7,6,0.0001,5,32,0.0005,False,585.9767670631435,0.7995414560879351,83.0,836.9221801757812,98.0,198.0,0.6857140471897758,956.9196166992188,30818,0.7988020551428554,973.2297973632812,COMPLETE
37,,2025-04-04 01:31:53.317192,2025-04-04 01:31:53.378753,0 days 00:00:00.061561,1e-05,4,0.207767902066961,48,7,4,0.0001,6,32,0.0005,,,,,,,,,,122673,,,PRUNED
38,640.5341575926753,2025-04-04 01:31:53.379151,2025-04-04 01:32:28.063099,0 days 00:00:34.683948,1e-05,4,0.22021480969088097,16,7,6,0.0001,5,32,1e-06,False,640.5341575926753,0.7692915694637972,109.0,914.8628540039062,109.0,209.0,0.6463975056887886,1009.2507934570312,15882,0.7467670964707276,1123.537109375,COMPLETE
39,641.2516107750948,2025-04-04 01:32:28.064584,2025-04-04 01:33:11.569319,0 days 00:00:43.504735,1e-05,4,0.185346238222652,32,3,6,0.0001,6,32,0.0,False,641.2516107750948,0.7301773969387211,139.0,915.8671875,139.0,239.0,0.650174891800263,1045.2950439453125,33943,0.7748157207803376,959.0816040039062,COMPLETE
40,,2025-04-04 01:33:11.570928,2025-04-04 01:33:11.632909,0 days 00:00:00.061981,0.001,4,0.2607017034850254,64,7,16,0.0001,5,32,0.0005,,,,,,,,,,201708,,,PRUNED
41,582.102457986432,2025-04-04 01:33:11.633313,2025-04-04 01:33:54.000003,0 days 00:00:42.366690,1e-05,4,0.27168038876573,24,7,6,0.0001,5,12,0.0005,False,582.102457986432,0.7986519334064854,116.0,831.385009765625,130.0,230.0,0.6806934514850596,996.9347534179688,30818,0.7909467655276121,958.4796752929688,COMPLETE
42,606.555164802248,2025-04-04 01:33:54.001729,2025-04-04 01:34:29.973387,0 days 00:00:35.971658,1e-05,4,0.27376990329240364,24,7,6,0.0001,6,12,0.0005,False,606.555164802248,0.7948252958761777,83.0,866.3159790039062,98.0,198.0,0.6509247701618539,999.4935913085938,34923,0.7884191262600305,1006.6387329101562,COMPLETE
43,,2025-04-04 01:34:29.974935,2025-04-04 01:34:30.037409,0 days 00:00:00.062474,1e-05,4,0.22975265295024,48,7,6,0.0001,6,8,0.0005,,,,,,,,,,124923,,,PRUNED
44,583.0237397447952,2025-04-04 01:34:30.037812,2025-04-04 01:34:57.529313,0 days 00:00:27.491501,1e-05,4,0.2056253810083849,24,3,12,0.0001,6,12,0.0005,False,583.0237397447952,0.7969730222701635,45.0,832.7031860351562,58.0,158.0,0.6634071752099582,1000.1771850585938,25685,0.8081127751529082,952.0867309570312,COMPLETE
45,710.9112024938123,2025-04-04 01:34:57.530786,2025-04-04 01:35:31.880682,0 days 00:00:34.349896,1e-05,4,0.18524039523099084,24,3,12,5e-05,4,32,0.0,False,710.9112024938123,0.6725217561521415,124.0,1015.3697509765625,124.0,224.0,0.5958015972639611,1074.523193359375,22083,0.7480619365074985,1084.175048828125,COMPLETE
46,,2025-04-04 01:35:31.882087,2025-04-04 01:35:31.943991,0 days 00:00:00.061904,1e-05,4,0.19994802138687548,64,3,12,0.0001,6,12,0.0001,,,,,,,,,,126805,,,PRUNED
47,629.3777615573146,2025-04-04 01:35:31.944391,2025-04-04 01:36:09.071705,0 days 00:00:37.127314,0.001,4,0.1576100497425964,24,3,12,0.0001,5,12,0.0005,False,629.3777615573146,0.765515353283811,49.0,898.9178466796875,133.0,233.0,0.7066474533476341,951.1563720703125,23884,0.7585831866769179,1014.9563598632812,COMPLETE
48,605.7028570257263,2025-04-04 01:36:09.073281,2025-04-04 01:37:22.855915,0 days 00:01:13.782634,0.0001,4,0.2366033367379853,16,3,4,0.0001,4,32,1e-06,False,605.7028570257263,0.7871195309323484,353.0,865.11083984375,372.0,472.0,0.739135084882052,903.4931640625,8651,0.7836175590384297,1011.030029296875,COMPLETE
49,,2025-04-04 01:37:22.857828,2025-04-04 01:37:22.920292,0 days 00:00:00.062464,1e-05,16,0.2015065325383485,48,3,12,0.0001,6,8,0.0005,,,,,,,,,,79253,,,PRUNED
50,826.5928965335773,2025-04-04 01:37:22.920696,2025-04-04 01:37:34.304535,0 days 00:00:11.383839,1e-05,4,0.11405699665986953,24,3,16,0.0005,4,12,0.0005,,,,,,,,,,25143,,,PRUNED
51,669.0718552737183,2025-04-04 01:37:34.305030,2025-04-04 01:38:11.368968,0 days 00:00:37.063938,0.0001,4,0.24241082330705271,16,3,4,0.0001,4,32,1e-06,False,669.0718552737183,0.711954974691581,184.0,955.6183471679688,117.0,217.0,0.6877900234858498,985.9812622070312,8651,0.7010864863821059,1063.977294921875,COMPLETE
52,654.9521264723245,2025-04-04 01:38:11.370540,2025-04-04 01:38:41.496208,0 days 00:00:30.125668,0.0001,4,0.2252279888175157,16,3,4,0.0001,4,32,1e-06,False,654.9521264723245,0.7230134170217402,91.0,935.44921875,96.0,196.0,0.7204054176325244,978.8092651367188,8651,0.7268083648943526,1012.3154296875,COMPLETE
53,930.798379433891,2025-04-04 01:38:41.497749,2025-04-04 01:39:11.233134,0 days 00:00:29.735385,0.0001,4,0.25532893888262753,16,3,4,0.0001,5,32,1e-06,,,,,,,,,,9468,,,PRUNED
54,656.5003115221616,2025-04-04 01:39:11.233807,2025-04-04 01:39:55.724310,0 days 00:00:44.490503,0.0001,2,0.21344694735915562,16,3,4,0.0001,4,32,1e-06,False,656.5003115221616,0.7350691950557614,131.0,937.6649780273438,186.0,286.0,0.6581238811010865,1026.3236083984375,8491,0.7318355086323585,1097.4351806640625,COMPLETE
55,623.0756051344642,2025-04-04 01:39:55.725976,2025-04-04 01:40:19.503685,0 days 00:00:23.777709,1e-05,4,0.2372139172201789,24,3,12,5e-05,5,12,0.0001,False,623.0756051344642,0.7773012063751058,114.0,889.9140014648438,49.0,149.0,0.7491349559772995,1008.7149047851562,23884,0.7443683834093158,1035.8824462890625,COMPLETE
56,928.4308950974582,2025-04-04 01:40:19.505085,2025-04-04 01:40:45.377933,0 days 00:00:25.872848,1e-05,4,0.16754199030579758,16,7,4,0.0001,4,16,0.0005,,,,,,,,,,12751,,,PRUNED
57,647.1959979504609,2025-04-04 01:40:45.378727,2025-04-04 01:41:10.792449,0 days 00:00:25.413722,0.0001,4,0.28473862984584686,24,7,6,0.0001,4,32,0.0,False,647.1959979504609,0.7743736357160749,96.0,924.3648071289062,52.0,152.0,0.6788271445071283,1014.6578979492188,26713,0.7590603658248986,1072.415283203125,COMPLETE
58,,2025-04-04 01:41:10.793916,2025-04-04 01:41:10.857373,0 days 00:00:00.063457,1e-05,16,0.19696983277813407,64,3,6,0.0001,5,12,0.0005,,,,,,,,,,107574,,,PRUNED
59,853.0023704905587,2025-04-04 01:41:10.857776,2025-04-04 01:41:21.513244,0 days 00:00:10.655468,0.001,4,0.3022503480385377,24,7,12,0.0005,6,12,1e-06,,,,,,,,,,39513,,,PRUNED
60,946.8087474490474,2025-04-04 01:41:21.513735,2025-04-04 01:41:55.958511,0 days 00:00:34.444776,1e-05,2,0.2491633039224922,24,7,4,0.0001,4,32,0.0005,,,,,,,,,,25023,,,PRUNED
61,607.2926687652688,2025-04-04 01:41:55.959344,2025-04-04 01:42:29.558217,0 days 00:00:33.598873,1e-05,4,0.27701353502720166,24,7,6,0.0001,6,12,0.0005,False,607.2926687652688,0.7938842058371203,83.0,867.3673706054688,99.0,199.0,0.6697649081423267,971.32958984375,34923,0.7827866921956944,1003.6741333007812,COMPLETE
62,605.2604941293675,2025-04-04 01:42:29.559753,2025-04-04 01:43:03.901833,0 days 00:00:34.342080,1e-05,4,0.2718809213736591,24,7,6,0.0001,6,12,0.0005,False,605.2604941293675,0.7945095062346561,83.0,864.4642944335938,99.0,199.0,0.6627477860300997,978.4259643554688,34923,0.780559679546665,1004.6016235351562,COMPLETE
63,604.6377672994644,2025-04-04 01:43:03.903371,2025-04-04 01:43:38.073383,0 days 00:00:34.170012,1e-05,4,0.2594233961771203,24,7,6,0.0001,6,12,0.0005,False,604.6377672994644,0.7903042440123511,83.0,863.5741577148438,99.0,199.0,0.6601847207153676,982.2061767578125,34923,0.782792699763619,996.7244262695312,COMPLETE
64,606.4611958140422,2025-04-04 01:43:38.075083,2025-04-04 01:44:13.999075,0 days 00:00:35.923992,1e-05,4,0.29889770200156607,24,7,6,0.0001,6,12,0.0005,False,606.4611958140422,0.8003209657404122,83.0,866.1809692382812,99.0,199.0,0.6726071707536637,967.9421997070312,34923,0.7742319735986422,1024.171630859375,COMPLETE
65,620.4564304952054,2025-04-04 01:44:14.000203,2025-04-04 01:44:58.474098,0 days 00:00:44.473895,1e-05,4,0.26279683577122676,24,7,6,5e-05,6,12,0.0005,False,620.4564304952054,0.7929322815076996,172.0,886.1756591796875,159.0,259.0,0.7495412600986653,941.1228637695312,34923,0.7940859033324134,1049.2391357421875,COMPLETE
66,611.1138866388221,2025-04-04 01:44:58.475660,2025-04-04 01:45:32.159108,0 days 00:00:33.683448,1e-05,4,0.33051390074041787,24,7,6,0.0001,6,12,0.0005,False,611.1138866388221,0.8028811633083606,83.0,872.8323974609375,98.0,198.0,0.6392674952388449,1022.1614990234375,34923,0.7960474753149409,1032.3134765625,COMPLETE
67,612.6304078181273,2025-04-04 01:45:32.160608,2025-04-04 01:46:07.662454,0 days 00:00:35.501846,1e-05,4,0.2831887270665052,24,7,6,0.0001,6,12,0.0005,False,612.6304078181273,0.7907135752144535,83.0,874.9946899414062,98.0,198.0,0.6493602476268736,1000.3894653320312,34923,0.7888938334611042,1011.965087890625,COMPLETE
68,615.440304310227,2025-04-04 01:46:07.663919,2025-04-04 01:46:50.428309,0 days 00:00:42.764390,1e-05,16,0.22853718643966028,24,7,6,0.0001,5,12,0.0005,False,615.440304310227,0.7859178995323937,152.0,879.0106201171875,161.0,261.0,0.7189026783442318,951.015380859375,31298,0.7593138294723549,1076.8829345703125,COMPLETE
69,,2025-04-04 01:46:50.429892,2025-04-04 01:46:50.494366,0 days 00:00:00.064474,1e-05,2,0.25499169454440535,32,7,6,0.0001,6,12,0.0005,,,,,,,,,,58283,,,PRUNED
70,578.2826456644673,2025-04-04 01:46:50.494770,2025-04-04 01:47:30.798550,0 days 00:00:40.303780,1e-05,4,0.2665514343176779,24,7,6,0.0001,5,16,0.0005,False,578.2826456644673,0.803265784705896,117.0,825.9285888671875,130.0,230.0,0.672776136958908,1008.1950073242188,30818,0.7869130466003779,955.0922241210938,COMPLETE
71,579.3305293767801,2025-04-04 01:47:30.799848,2025-04-04 01:48:10.219312,0 days 00:00:39.419464,1e-05,4,0.26774554054349353,24,7,6,0.0001,5,16,0.0005,False,579.3305293767801,0.802752159303658,117.0,827.4251708984375,130.0,230.0,0.6663875465593304,1014.393798828125,30818,0.7851416919455205,957.8679809570312,COMPLETE
72,579.2857624428416,2025-04-04 01:48:10.221067,2025-04-04 01:48:43.095074,0 days 00:00:32.874007,1e-05,4,0.2662746344287026,24,7,6,0.0001,5,16,0.0005,False,579.2857624428416,0.8038901262308931,117.0,827.3654174804688,99.0,199.0,0.7028333920060463,959.2953491210938,30818,0.8101247430840699,955.1739501953125,COMPLETE
73,577.7307863878559,2025-04-04 01:48:43.096754,2025-04-04 01:49:20.858202,0 days 00:00:37.761448,1e-05,4,0.29198432218916354,24,7,6,0.0001,5,16,0.0005,False,577.7307863878559,0.802862023927429,116.0,825.1411743164062,130.0,230.0,0.6971320708829016,983.6456298828125,30818,0.7956843530928469,955.8960571289062,COMPLETE
74,763.5344036351815,2025-04-04 01:49:20.859735,2025-04-04 01:49:32.135642,0 days 00:00:11.275907,1e-06,4,0.2972627496999464,24,7,6,0.0005,5,16,0.0005,,,,,,,,,,30818,,,PRUNED
75,577.0626948775807,2025-04-04 01:49:32.136328,2025-04-04 01:50:08.803813,0 days 00:00:36.667485,1e-05,4,0.29130200132808104,24,7,6,0.0001,5,16,0.0005,False,577.0626948775807,0.8025497054588024,91.0,824.1866455078125,130.0,230.0,0.696206795455207,983.5327758789062,30818,0.7955418807706587,953.2403564453125,COMPLETE
76,602.5292915468103,2025-04-04 01:50:08.805369,2025-04-04 01:50:35.760680,0 days 00:00:26.955311,1e-05,4,0.2880493763597953,24,7,16,0.0001,5,16,0.0001,False,602.5292915468103,0.769720410453089,45.0,860.5545654296875,62.0,162.0,0.5850290768332443,1092.65087890625,38468,0.7846756621081289,975.9105224609375,COMPLETE
77,602.86494346152,2025-04-04 01:50:35.762116,2025-04-04 01:51:06.729285,0 days 00:00:30.967169,1e-05,4,0.2791538017724129,24,5,6,0.0001,5,16,0.0005,False,602.86494346152,0.7947496524479666,103.0,861.0458984375,83.0,183.0,0.6760356005721269,1009.061767578125,25056,0.7792148476922126,959.4251098632812,COMPLETE
78,578.4748787064527,2025-04-04 01:51:06.730773,2025-04-04 01:51:45.103235,0 days 00:00:38.372462,1e-05,4,0.26898141191213326,24,7,6,0.0001,5,16,0.0005,False,578.4748787064527,0.804649190104843,117.0,826.2034912109375,130.0,230.0,0.673294476282816,1004.0404052734375,30818,0.7883314174007544,956.8042602539062,COMPLETE
79,,2025-04-04 01:51:45.104998,2025-04-04 01:51:45.201595,0 days 00:00:00.096597,1e-05,4,0.2670631253204553,48,7,6,5e-05,5,16,0.0005,,,,,,,,,,108650,,,PRUNED
80,583.0409969818368,2025-04-04 01:51:45.202067,2025-04-04 01:52:24.605769,0 days 00:00:39.403702,0.001,4,0.29508519469363476,24,7,6,0.0001,5,16,0.0,False,583.0409969818368,0.7976568217482334,116.0,832.724365234375,130.0,230.0,0.7144631787119492,978.7383422851562,30818,0.7880951633346308,950.4813232421875,COMPLETE
81,582.7838187954662,2025-04-04 01:52:24.607298,2025-04-04 01:53:03.001585,0 days 00:00:38.394287,0.001,4,0.29615891484428947,24,7,6,0.0001,5,16,0.0,False,582.7838187954662,0.7970557254733683,117.0,832.3573608398438,130.0,230.0,0.7106843938430474,983.8909301757812,30818,0.7889222052916993,951.2655029296875,COMPLETE
82,581.3643367228344,2025-04-04 01:53:03.003175,2025-04-04 01:53:34.137231,0 days 00:00:31.134056,0.001,4,0.3110397340671017,24,7,6,0.0001,5,16,0.0,False,581.3643367228344,0.8014489840749459,117.0,830.3335571289062,99.0,199.0,0.7392907911735933,921.52783203125,30818,0.8095955961472664,951.14404296875,COMPLETE
83,585.6692242262923,2025-04-04 01:53:34.138704,2025-04-04 01:54:10.220849,0 days 00:00:36.082145,0.001,4,0.3258420765654495,24,7,6,0.0001,5,16,0.0,False,585.6692242262923,0.7964135445511036,117.0,836.4772338867188,130.0,230.0,0.7287706968168303,959.481201171875,30818,0.780466523952037,954.812255859375,COMPLETE
84,585.3893136502995,2025-04-04 01:54:10.222448,2025-04-04 01:54:46.159183,0 days 00:00:35.936735,0.001,4,0.3036109185159118,24,7,6,0.0001,5,16,0.0,False,585.3893136502995,0.7965104573603006,83.0,836.0780029296875,130.0,230.0,0.7181190200576275,977.9413452148438,30818,0.7818079251816914,954.9736328125,COMPLETE
85,579.7557329664731,2025-04-04 01:54:46.160721,2025-04-04 01:55:22.986400,0 days 00:00:36.825679,0.001,4,0.29060316366791494,24,7,6,0.0001,5,16,0.0,False,579.7557329664731,0.8051804888079658,117.0,828.0343627929688,130.0,230.0,0.730638095498256,973.6353759765625,30818,0.7969259432639351,956.1098022460938,COMPLETE
86,,2025-04-04 01:55:22.988030,2025-04-04 01:55:23.052219,0 days 00:00:00.064189,0.001,4,0.30612685462298056,32,7,6,0.0001,5,16,0.0,,,,,,,,,,51258,,,PRUNED
87,578.542228745124,2025-04-04 01:55:23.052625,2025-04-04 01:55:56.148283,0 days 00:00:33.095658,0.001,4,0.3097172822318697,24,7,6,0.0001,5,16,0.0,False,578.542228745124,0.802896097027136,117.0,826.3016357421875,99.0,199.0,0.7344407162131937,926.460693359375,30818,0.8077518337389071,945.1614990234375,COMPLETE
88,,2025-04-04 01:55:56.149835,2025-04-04 01:55:56.216427,0 days 00:00:00.066592,0.001,4,0.3118957991732972,64,7,6,0.0001,5,16,0.0,,,,,,,,,,188058,,,PRUNED
89,588.1791581444924,2025-04-04 01:55:56.216835,2025-04-04 01:56:28.719915,0 days 00:00:32.503080,0.001,4,0.3406203486523847,24,7,6,0.0001,5,16,0.0,False,588.1791581444924,0.8028831698013241,117.0,840.068359375,99.0,199.0,0.7429806566329376,915.603515625,30818,0.8112689260209057,964.5316772460938,COMPLETE
90,691.0311420174494,2025-04-04 01:56:28.721469,2025-04-04 01:56:40.970180,0 days 00:00:12.248711,0.001,16,0.2907563100617675,24,7,6,0.0005,5,16,0.0,,,,,,,,,,31298,,,PRUNED
