model,dataset,window,horizon,ablation,seed,use_adj,timestamp,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak
MSTAGAT-Net,spain-covid,20,3,none,42,True,20260206_213102,7.696328163146973,21.39659881591797,24.38391513647496,8.220881462097168,0.0224166419357061,0.0134573951363563,0.0681479424238205,-103.33428955078124,-1.3549829721450806,-93.44519805908205,-0.3260097801685333,0.0306807626038789
EpiSIG-Net-V3,spain-covid,20,3,none,45,True,20260203_010242,15.948938369750977,76.77207946777344,152.96257967637052,27.37358283996582,0.6547357439994812,0.1278911121547795,0.125871405005455,0.2825914025306701,-1.4446419477462769,0.2863194942474365,-0.1654198169708252,7.995534420013428
EpiSIG-Net-V3,spain-covid,20,3,none,100,True,20260203_010314,15.784224510192873,72.5549545288086,148.74401904992683,27.67224884033203,0.6372007727622986,0.1159505833728382,0.1123256608843803,0.3216165900230407,-2.893435478210449,0.3244767785072326,-1.106469750404358,10.147953987121582
EpiSIG-Net-V3,spain-covid,20,3,none,123,True,20260203_010351,17.068485260009766,65.63814544677734,132.59800326079574,27.74744033813477,0.6808966994285583,0.071323136655757,0.1080041527748107,0.4608989953994751,-8.415999412536621,0.4628571271896362,-3.107192039489746,13.622474670410156
EpiSIG-Net-V3,spain-covid,20,3,none,500,True,20260203_010436,16.05906867980957,64.55945587158203,133.0114098724241,26.576316833496094,0.6787256598472595,0.0942896593075532,0.1047912091016769,0.4575321674346924,-4.85762882232666,0.4597594738006592,-1.180128574371338,12.724398612976074
EpiSIG-Net-V3,spain-covid,20,3,none,1000,True,20260203_010524,16.483184814453125,67.25089263916016,133.83597557971848,26.26272201538086,0.6728972792625427,0.1137225149342646,0.1148798018693924,0.4507855772972107,-2.3967955112457275,0.4526432156562805,0.0087284231558442,13.244420051574709
MSTAGAT-Net,spain-covid,20,5,none,5,True,20260202_191833,21.15049171447754,84.33788299560547,158.76617166646363,32.365352630615234,0.6021333336830139,0.1079199714944339,0.165298655629158,0.2271199226379394,-5.001575946807861,0.2339959144592285,-0.6436799764633179,10.309154510498049
MSTAGAT-Net,spain-covid,20,5,none,42,True,20260206_094751,25.63317108154297,100.79499053955078,171.95232919511443,36.20621109008789,0.5683145523071289,0.1195144782093568,0.2074038833379745,0.0934071540832519,-7.760688781738281,0.1052666902542114,-0.6540576219558716,10.061903953552246
EpiSIG-Net-V3,spain-covid,20,7,no_agam,1,True,20260204_223353,24.45172882080078,96.1953353881836,160.36929427691263,34.5006103515625,0.539575457572937,0.0780162943097261,0.1796702444553375,0.2114329934120178,-8.589797973632812,0.2195276618003845,-2.0039846897125244,13.818742752075195
MSTAGAT-Net,spain-covid,20,7,no_agam,5,True,20260127_060049,25.8953857421875,92.94405364990234,157.7883583019514,35.89507293701172,0.5080620050430298,0.098511959067904,0.1891156584024429,0.2366106510162353,-10.41722297668457,0.2444812059402465,-1.90848171710968,16.647890090942383
EpiSIG-Net-V3,spain-covid,20,7,no_mtfm,1,True,20260204_223416,24.45172882080078,96.1953353881836,160.36929427691263,34.5006103515625,0.539575457572937,0.0780162943097261,0.1796702444553375,0.2114329934120178,-8.589797973632812,0.2195276618003845,-2.0039846897125244,13.818742752075195
MSTAGAT-Net,spain-covid,20,7,no_mtfm,5,True,20260127_060115,28.091976165771484,114.86910247802734,165.2775955589565,35.65165328979492,0.5050839185714722,0.1011696506578188,0.2165622562170028,0.1624241471290588,-7.3559064865112305,0.1739677786827087,-1.0609692335128784,14.68085575103
EpiSIG-Net-V5,spain-covid,20,7,no_pprm,1,True,20260204_211405,31.611543655395508,93.52933502197266,171.06856264375403,43.10145568847656,0.3409702479839325,0.0551715460247718,0.2157275229692459,0.1027022004127502,-25.38309097290039,0.110247790813446,-3.437701940536499,20.89944839477539
MSTAGAT-Net,spain-covid,20,7,no_pprm,5,True,20260127_060146,43.51906204223633,99.57967376708984,178.3911443727659,55.35363006591797,0.2710491716861725,0.0634211958027803,0.3163444101810455,0.0242405533790588,-48.50092315673828,0.0534948110580444,-2.2866909503936768,21.52963638305664
EpiSIG-Net-V3,spain-covid,20,7,none,1,True,20260204_223240,24.45172882080078,96.1953353881836,160.36929427691263,34.5006103515625,0.539575457572937,0.0780162943097261,0.1796702444553375,0.2114329934120178,-8.589797973632812,0.2195276618003845,-2.0039846897125244,13.818742752075195
EpiSIG-Net-V3,spain-covid,20,7,none,2,True,20260204_142058,25.454870223999023,84.25293731689453,157.113638212919,36.67727279663086,0.5005660653114319,0.0596638448679676,0.1618219166994094,0.2431253790855407,-17.79401969909668,0.2475259900093078,-3.551891565322876,18.9884090423584
EpiSIG-Net-V3,spain-covid,20,7,none,3,True,20260204_142133,24.21636962890625,93.41436004638672,157.75740374860382,34.76618957519531,0.5236289501190186,0.0722309520396475,0.1737075299024582,0.2369101047515869,-14.085067749023438,0.2437773942947387,-5.457589149475098,15.524443626403809
EpiSIG-Net-V3,spain-covid,20,7,none,4,True,20260204_142258,23.05729103088379,81.949951171875,150.79237329437453,34.21101379394531,0.5573521256446838,0.0372876995959534,0.1525634229183197,0.3028039336204529,-18.306659698486328,0.3083232641220093,-5.140224933624268,16.22321128845215
EpiSIG-Net-V3,spain-covid,20,7,none,5,True,20260204_142401,23.811840057373047,96.93657684326172,160.6104869416222,33.97437286376953,0.53923499584198,0.0840490696450265,0.1765122860670089,0.2090592384338379,-8.613759994506836,0.2165479063987732,-2.421194553375244,13.776703834533691
EpiSIG-Net-V3,spain-covid,20,7,none,6,True,20260204_142626,24.448041915893555,89.44390106201172,156.54885793858415,35.01913833618164,0.5221706628799438,0.0656877779043637,0.1647869944572448,0.2485570907592773,-14.547395706176758,0.2554160952568054,-3.894850015640259,16.094972610473633
EpiSIG-Net-V3,spain-covid,20,7,none,7,True,20260204_142728,24.8519344329834,75.68525695800781,159.32829585285535,37.73002624511719,0.513310432434082,0.0353625491619683,0.1451293230056762,0.2216373682022094,-23.23291778564453,0.2257830500602722,-5.950683116912842,20.41832160949707
EpiSIG-Net-V3,spain-covid,20,7,none,8,True,20260204_142812,27.074840545654297,103.13957214355467,165.92435800124406,37.09220123291016,0.5025627017021179,0.052089929079207,0.1957732588052749,0.1558561325073242,-14.034822463989258,0.1662635803222656,-3.5872926712036133,14.668905258178713
EpiSIG-Net-V3,spain-covid,20,7,none,9,True,20260204_142856,26.38024139404297,86.41048431396484,153.0076591220191,36.19858551025391,0.5387354493141174,0.0566201343630942,0.184362918138504,0.2821685075759887,-14.579875946044922,0.2897554039955139,-1.3654109239578247,17.62692642211914
EpiSIG-Net-V3,spain-covid,20,7,none,10,True,20260204_142945,23.253406524658203,104.28556823730467,171.42023359094748,34.334896087646484,0.4505146741867065,0.059864591807127,0.1617176979780197,0.0990092158317565,-10.244318008422852,0.1047949790954589,-4.115561485290527,16.06138801574707
EpiSIG-Net-V3,spain-covid,20,7,none,20,True,20260203_010902,25.462411880493164,102.68982696533205,165.78108211584336,35.54785919189453,0.5130602717399597,0.0580475180803869,0.1874185800552368,0.1573132872581482,-15.06832218170166,0.1662498116493225,-4.03293514251709,14.129294395446776
EpiSIG-Net-V3,spain-covid,20,7,none,30,True,20260203_011027,20.91234397888184,75.97074127197266,169.18606851998777,35.001224517822266,0.3846935927867889,0.0663766263840863,0.1229821145534515,0.1223418712615966,-9.357949256896973,0.12417733669281,-2.271111011505127,22.3093490600586
MSTAGAT-Net,spain-covid,20,7,none,42,True,20260206_213113,7.113680362701416,21.84686088562012,38.97591184438874,9.652031898498535,-0.0120076946914196,-0.0280156327196611,0.0654550567269325,-265.5709228515625,-0.3098958432674408,-257.6687316894531,0.0779873803257942,0.0323180742561817
EpiSIG-Net-V3,spain-covid,20,7,none,45,True,20260203_011233,26.31578254699707,130.66891479492188,240.1632013470216,43.90182876586914,0.5123545527458191,0.0643128514683877,0.2203561514616012,-0.7685164213180542,-11.361413955688477,-0.7523034811019897,-5.5584716796875,5.450897693634033
EpiSIG-Net-V3,spain-covid,20,7,none,100,True,20260203_011304,32.49198913574219,125.85218811035156,202.79244893178344,44.39663314819336,0.5113464593887329,0.0627065282315015,0.2647432386875152,-0.2609554529190063,-20.87873077392578,-0.2384828329086303,-3.245913505554199,9.195185661315918
EpiSIG-Net-V3,spain-covid,20,7,none,123,True,20260203_011336,30.091259002685547,101.94583129882812,160.47981643924882,38.96133041381836,0.5216500163078308,0.0733246646570758,0.2252170443534851,0.2103456854820251,-19.86580276489257,0.2232836484909057,-3.217151165008545,14.936521530151367
EpiSIG-Net-V3,spain-covid,20,7,none,500,True,20260203_011417,30.0685977935791,90.66475677490234,164.53960389523246,41.24340438842773,0.426148772239685,0.0046778071958285,0.2026098370552063,0.1698873043060302,-25.884456634521484,0.1789164543151855,-4.377357482910156,20.52642250061035
EpiSIG-Net-V3,spain-covid,20,7,none,1000,True,20260203_011518,24.076902389526367,94.2146453857422,157.775812567231,33.69731140136719,0.4987133741378784,0.0940309094103912,0.1727885454893112,0.236732006072998,-6.8485307693481445,0.242492139339447,-0.9035094976425172,17.408504486083984
EpiSIG-Net-V3,spain-covid,20,14,no_agam,1,True,20260204_223413,42.96664810180664,116.43704986572266,175.6534674437143,53.067569732666016,0.3647305965423584,-0.0057878169732598,0.330346405506134,0.0539596676826477,-61.26763153076172,0.0838232040405273,-10.263494491577148,19.096662521362305
MSTAGAT-Net,spain-covid,20,14,no_agam,5,True,20260127_060059,48.41930770874024,130.6442108154297,195.51962017915235,60.9478759765625,0.2386686950922012,-0.0496061849766052,0.3798002898693084,-0.1721329689025879,-73.14649963378906,-0.1314886808395385,-9.774321556091309,20.36284446716309
EpiSIG-Net-V5,spain-covid,20,14,no_mtfm,1,True,20260204_211338,48.90504837036133,122.15009307861328,182.07984598109687,57.61328887939453,0.2982470989227295,0.0247188662626565,0.3784377872943878,-0.0165293216705322,-68.26266479492188,0.023057222366333,-3.496286630630493,20.195114135742188
MSTAGAT-Net,spain-covid,20,14,no_mtfm,5,True,20260127_060126,38.16645050048828,150.669189453125,195.4580757477163,45.160404205322266,0.2061781883239746,-0.0182919462139789,0.2951749265193939,-0.1713951826095581,-16.908329010009766,-0.1511014699935913,-1.85815691947937,21.06563949584961
EpiSIG-Net-V5,spain-covid,20,14,no_pprm,1,True,20260204_211423,48.90504837036133,122.15009307861328,182.07984598109687,57.61328887939453,0.2982470989227295,0.0247188662626565,0.3784377872943878,-0.0165293216705322,-68.26266479492188,0.023057222366333,-3.496286630630493,20.195114135742188
MSTAGAT-Net,spain-covid,20,14,no_pprm,5,True,20260127_060156,58.5449333190918,142.85289001464844,207.572069562598,67.79216766357422,0.0957726910710334,-0.0429124278374589,0.4543325006961822,-0.3210948705673218,-86.00568389892578,-0.2585029602050781,-4.625370025634766,22.731609344482425
EpiSIG-Net-V3,spain-covid,20,14,none,1,True,20260204_223259,42.96664810180664,116.43704986572266,175.6534674437143,53.067569732666016,0.3647305965423584,-0.0057878169732598,0.330346405506134,0.0539596676826477,-61.26763153076172,0.0838232040405273,-10.263494491577148,19.096662521362305
EpiSIG-Net-V3,spain-covid,20,14,none,2,True,20260204_143058,43.146331787109375,111.73107147216795,178.80159875893168,54.748268127441406,0.3036042153835296,-0.0521463568752201,0.3022907376289367,0.0197451710700988,-139.43495178222656,0.0490292906761169,-33.68160629272461,20.535165786743164
EpiSIG-Net-V3,spain-covid,20,14,none,3,True,20260204_143136,37.60432434082031,103.7594985961914,203.20779082013564,52.63047409057617,-0.1554381102323532,-0.0640700936424904,0.2532725036144256,-0.2661259174346924,-73.70661163330078,-0.259128212928772,-10.016109466552734,25.799028396606445
EpiSIG-Net-V3,spain-covid,20,14,none,4,True,20260204_143220,54.23974609375,163.33740234375,215.2082294691585,64.24293518066406,0.1322696506977081,-0.0781467114217006,0.4022803902626037,-0.4200836420059204,-161.57998657226562,-0.3677445650100708,-35.48648452758789,21.876296997070312
EpiSIG-Net-V3,spain-covid,20,14,none,5,True,20260204_143250,48.65953063964844,146.5098114013672,193.74332649797256,54.94054412841797,0.3107457756996155,0.0639015061494249,0.3908765614032745,-0.1509320735931396,-44.52601623535156,-0.1070839166641235,-0.4109295308589935,18.438486099243164
EpiSIG-Net-V3,spain-covid,20,14,none,6,True,20260204_143326,41.57603073120117,130.40818786621094,188.0138999183305,50.37163925170898,0.3377096951007843,0.0500485509848938,0.3191390335559845,-0.0838673114776611,-46.14341354370117,-0.0545487403869628,-7.938026428222656,18.14067840576172
EpiSIG-Net-V3,spain-covid,20,14,none,7,True,20260204_143404,50.52720260620117,141.98272705078125,235.8152829149332,64.58795928955078,-0.2544694542884826,-0.0604170100548519,0.3782400488853454,-0.705061674118042,-64.17345428466797,-0.6924451589584351,-6.830596446990967,28.162338256835938
EpiSIG-Net-V3,spain-covid,20,14,none,8,True,20260204_143442,32.70929336547852,135.33642578125,192.85491834861253,42.207218170166016,0.3074738383293152,0.0140616696041363,0.241900697350502,-0.140401005744934,-30.90456962585449,-0.1258934736251831,-9.179964065551758,18.57097625732422
EpiSIG-Net-V3,spain-covid,20,14,none,9,True,20260204_143537,46.38653945922852,113.07484436035156,184.4291975427156,59.09291458129883,0.2689362466335296,-0.0516171595439887,0.3328054845333099,-0.0429309606552124,-160.07286071777344,-0.0070267915725708,-27.305870056152344,20.689329147338867
EpiSIG-Net-V3,spain-covid,20,14,none,10,True,20260204_143645,50.52320098876953,142.06381225585938,196.81862288030567,59.9478759765625,0.2286245375871658,-0.0420444696210324,0.3961775004863739,-0.1877596378326416,-82.46158599853516,-0.1424698829650879,-17.406707763671875,20.552921295166016
EpiSIG-Net-V3,spain-covid,20,14,none,20,True,20260203_011734,42.51010894775391,143.97987365722656,203.2367577174464,53.29075241088867,0.4017851650714874,-0.0061727397931882,0.346843272447586,-0.2664868831634521,-54.175270080566406,-0.2314379215240478,-14.468184471130373,14.294642448425291
EpiSIG-Net-V3,spain-covid,20,14,none,30,True,20260203_011835,36.94388198852539,162.5177764892578,204.5112313541728,43.54500198364258,0.3130631148815155,0.0964203506278304,0.2933511137962341,-0.2824206352233886,-10.94279670715332,-0.2605586051940918,-0.9168672561645508,17.376436233520508
MSTAGAT-Net,spain-covid,20,14,none,42,True,20260206_213124,14.3797025680542,74.60517883300781,131.47120496281687,22.46254539489746,-0.01938098669052124,0.016316057111208256,0.13775469362735748,-3032.063720703125,-0.6644490957260132,-2999.66796875,-0.1819421350955963,0.03028976358473301
EpiSIG-Net-V3,spain-covid,20,14,none,45,True,20260203_011955,37.96788787841797,135.70660400390625,190.8211286126356,47.71539688110352,0.3620293736457824,-0.0422378964184855,0.2777267694473266,-0.116475224494934,-58.9119873046875,-0.092542290687561,-16.277729034423828,17.0103759765625
EpiSIG-Net-V3,spain-covid,20,14,none,100,True,20260203_012045,51.977298736572266,146.26339721679688,236.9002377716198,64.97885131835938,-0.250743955373764,-0.0567031087568746,0.3953846096992492,-0.7207871675491333,-58.18921661376953,-0.704972505569458,-1.6142064332962036,28.09569358825684
EpiSIG-Net-V3,spain-covid,20,14,none,123,True,20260203_012126,41.85774993896485,146.3972930908203,191.0745416552137,49.276554107666016,0.3756063580513,-0.0084177955913429,0.3209874033927917,-0.1194425821304321,-57.82255172729492,-0.0877176523208618,-9.435803413391112,16.483943939208984
EpiSIG-Net-V3,spain-covid,20,14,none,500,True,20260203_012220,40.54014205932617,124.39599609375,182.4328857758381,50.22004699707031,0.380741536617279,0.049744931443666,0.3179892003536224,-0.020475149154663,-42.41819381713867,0.006809651851654,-9.592283248901367,17.311206817626953
EpiSIG-Net-V3,spain-covid,20,14,none,1000,True,20260203_012305,49.910133361816406,173.72149658203125,212.2286134690608,55.000267028808594,0.3307262659072876,0.0996392057456362,0.4140635430812835,-0.3810330629348755,-33.226898193359375,-0.331027626991272,-0.3806934356689453,16.198516845703125
