model,timestamp,dataset,window,horizon,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak,ablation
MSTAGAT-Net,20260115_004229,ltla_timeseries,20,7,87.25193786621094,62.4356,167.40723293999278,134.26875,0.71540153,0.64047414,7.0540864e-08,0.4058374166488647,0.09469342,0.4625983238220215,0.31507972,88.16255187988281,no_mtfm
MSTAGAT-Net,20260115_004730,ltla_timeseries,20,7,95.62128448486328,74.600136,191.94428716427063,152.5114,0.65883905,0.5969192,4.7407003e-08,0.2188988924026489,-0.20857248,0.3624258041381836,0.23056194,101.79322052001952,no_pprm
MSTAGAT-Net,20260115_003747,ltla_timeseries,20,7,85.5460433959961,61.98563,163.96291024954394,131.052,0.70943063,0.6545251,6.555932e-08,0.4300351142883301,0.13974804,0.4710925221443176,0.3344688,87.45438385009766,none
MSTAGAT-Net,20260115_005508,ltla_timeseries,20,14,109.39509582519533,79.20314,206.8492714363529,167.33241,0.58305216,0.4128554,5.7189812e-08,0.0928797721862793,-0.4396651,0.2912325263023376,0.14800467,116.63689422607422,no_agam
MSTAGAT-Net,20260115_005551,ltla_timeseries,20,14,106.46712493896484,76.82073,203.0709735843604,164.04214,0.5736169,0.38110885,6.193405e-08,0.1257159113883972,-0.37979418,0.2844122648239136,0.118017145,111.9413070678711,no_mtfm
MSTAGAT-Net,20260115_005948,ltla_timeseries,20,14,113.52762603759766,83.365585,209.52180487660468,168.27841,0.47084877,0.2775204,7.768854e-08,0.0692879557609558,-0.44973165,0.2118868231773376,0.047285218,117.31256866455078,no_pprm
MSTAGAT-Net,20260115_005114,ltla_timeseries,20,14,107.97074127197266,77.541214,199.72883961761755,160.93304,0.52356696,0.33929598,7.9430095e-08,0.1542569398880005,-0.32488373,0.2591682076454162,0.08156605,110.44216918945312,none
MSTAGAT-Net,20260114_234955,nhs_timeseries,20,3,8.46889591217041,3.7840393,10.190531835331957,9.423464,0.9885167,0.9876884,3.703976e-08,0.9360882639884948,0.87567604,0.9765591025352478,0.9695145,3.572730779647827,no_agam
MSTAGAT-Net,20260114_235045,nhs_timeseries,20,3,5.830837249755859,2.9563015,7.544276957212594,6.784364,0.99003017,0.98750734,2.502453e-08,0.9649714231491088,0.9355105,0.9789516925811768,0.97276914,3.653563022613525,no_mtfm
MSTAGAT-Net,20260114_235439,nhs_timeseries,20,3,10.341476440429688,9.624674,15.337834789349852,11.93114,0.9394311,0.9684485,2.6238036e-08,0.8552178144454956,0.81672686,0.8787674307823181,0.92784566,11.798553466796877,no_pprm
MSTAGAT-Net,20260114_234630,nhs_timeseries,20,3,9.422811508178713,4.75964,11.270294872308757,10.246196,0.98268986,0.9885088,4.1677254e-08,0.9218268394470216,0.82617706,0.9654186367988586,0.9658609,6.225871562957764,none
MSTAGAT-Net,20260115_000224,nhs_timeseries,20,7,12.514586448669434,5.315177,15.27155269300648,14.204732,0.96833354,0.96301717,5.6024327e-08,0.8564664721488953,0.71283096,0.936622142791748,0.91270125,8.076793670654297,no_agam
