wis,wis_dispersion,wis_overprediction,wis_underprediction,cov50,cov90,cov95,model,dataset,horizon,seed,ablation,variant,split,n_test
15.774572327781462,2.8282523863235576,7.237905430946095,4.735337516539865,0.283442140296979,0.8003072196620584,0.9100582437275986,MSAGAT-Net,ltla_timeseries,3,42,none,with_adj.loggrowth.quant,test,168
16.937133875231844,2.462665540560836,8.301763367102149,5.145729530840962,0.26092869943676394,0.7938588069636456,0.9057379672299027,MSAGAT-Net,ltla_timeseries,3,45,none,with_adj.loggrowth.quant,test,168
28.259052596254758,6.0073839683649775,15.38057941842278,5.057959231956271,0.28006592421915005,0.743423579109063,0.9260272657450077,MSAGAT-Net,ltla_timeseries,7,1000,none,with_adj.loggrowth.quant,test,168
27.513717008499906,5.282485963028631,14.96304014244995,5.547209802645857,0.23417498719918076,0.7933627752176139,0.9133224526369688,MSAGAT-Net,ltla_timeseries,7,123,none,with_adj.loggrowth.quant,test,168
29.76824746564259,5.373953015493953,18.281551761678376,4.222668351578705,0.2144937275985663,0.7834581413210445,0.9135464669738863,MSAGAT-Net,ltla_timeseries,7,30,none,with_adj.loggrowth.quant,test,168
29.134799664789224,5.4023584982303925,16.97732007920698,4.87771852223577,0.20369303635432667,0.772305427547363,0.9184267793138761,MSAGAT-Net,ltla_timeseries,7,42,none,with_adj.loggrowth.quant,test,168
29.946342201130644,5.43593294268081,18.166995557871374,4.454966085832807,0.275681643625192,0.7583205325140809,0.9005056323604711,MSAGAT-Net,ltla_timeseries,7,45,none,with_adj.loggrowth.quant,test,168
5.564644746392807,1.8316824481282024,1.1543657928027866,2.212897398130242,0.3870710295291301,0.8778930566640064,0.9377494014365523,MSAGAT-Net,nhs_timeseries,14,1000,none,with_adj.loggrowth.quant,test,179
4.857936098866387,1.3907111557398082,1.4183270762723599,1.7248447598373249,0.3399840383080607,0.825219473264166,0.9289704708699122,MSAGAT-Net,nhs_timeseries,14,123,none,with_adj.loggrowth.quant,test,179
8.686084293039325,2.556108673278056,0.42556995258286956,5.129661538867393,0.3599361532322426,0.7980845969672785,0.8930566640063847,MSAGAT-Net,nhs_timeseries,14,30,none,with_adj.loggrowth.quant,test,179
5.752649552701949,3.2846054440116093,0.7043305883848046,1.3899056346838643,0.39664804469273746,0.9928172386272945,0.9992019154030327,MSAGAT-Net,nhs_timeseries,14,42,none,with_adj.loggrowth.quant,test,179
6.775384876717633,2.6143487009558206,0.5269896230515957,3.1860505189516393,0.4046288906624102,0.8874700718276137,0.9489225857940942,MSAGAT-Net,nhs_timeseries,14,45,none,with_adj.loggrowth.quant,test,179
1.037302938875978,0.2608923780672828,0.39981268089175565,0.3077712468160481,0.2601755786113328,0.8459696727853152,0.945730247406225,MSAGAT-Net,nhs_timeseries,3,1000,none,with_adj.loggrowth.quant,test,179
1.7529784543270448,0.4082668254741041,0.2655450925228395,0.9657881867691588,0.2266560255387071,0.8683160415003991,0.9545091779728652,MSAGAT-Net,nhs_timeseries,3,123,none,with_adj.loggrowth.quant,test,179
1.0783958963562903,0.28019665336976207,0.261990668958221,0.46545121386337507,0.27214684756584195,0.86512370311253,0.9537110933758979,MSAGAT-Net,nhs_timeseries,3,30,none,with_adj.loggrowth.quant,test,179
1.0923428189931115,0.3255740038888377,0.22300112605272782,0.4724621789270678,0.26895450917797287,0.9018355945730248,0.9736632083000798,MSAGAT-Net,nhs_timeseries,3,42,none,with_adj.loggrowth.quant,test,179
1.0503758601351605,0.3155942808615061,0.26369114190825044,0.40150774628024277,0.28890662410215484,0.888268156424581,0.9592976855546688,MSAGAT-Net,nhs_timeseries,3,45,none,with_adj.loggrowth.quant,test,179
3.7680364940002584,1.1046178153918866,0.41461991206509013,2.001206932009464,0.2833200319233839,0.8499600957701516,0.9361532322426177,MSAGAT-Net,nhs_timeseries,7,1000,none,with_adj.loggrowth.quant,test,179
2.7373449295584438,0.8287009736708076,0.9231883499093619,0.801663787452074,0.3200319233838787,0.86512370311253,0.951316839584996,MSAGAT-Net,nhs_timeseries,7,123,none,with_adj.loggrowth.quant,test,179
5.2877198986156015,1.1724512570875325,0.19054069748700478,3.58213025324672,0.20989624900239426,0.7749401436552275,0.9010375099760575,MSAGAT-Net,nhs_timeseries,7,30,none,with_adj.loggrowth.quant,test,179
2.537652925247578,0.5699543668442073,0.846444798564881,0.9555343845268751,0.24980047885075818,0.7597765363128491,0.87390263367917,MSAGAT-Net,nhs_timeseries,7,42,none,with_adj.loggrowth.quant,test,179
3.065097104970138,1.1094567750558304,0.7712010221753669,0.9792526650715845,0.35434956105347165,0.9177972865123704,0.9736632083000798,MSAGAT-Net,nhs_timeseries,7,45,none,with_adj.loggrowth.quant,test,179
415.8651098227358,216.3026274071195,119.65056971278227,54.97639953594266,0.48471337579617835,0.935031847133758,0.9808917197452229,MSAGAT-Net,region785,10,1000,none,with_adj.loggrowth.quant,test,157
318.9910900203699,156.86183149061753,110.37392128191969,31.627647220206967,0.5464968152866242,0.9573248407643312,0.9847133757961783,MSAGAT-Net,region785,10,123,none,with_adj.loggrowth.quant,test,157
333.42472717578806,192.9929746357469,68.60250224538933,52.09038194676444,0.5751592356687898,0.954140127388535,0.9808917197452229,MSAGAT-Net,region785,10,30,none,with_adj.loggrowth.quant,test,157
343.7956501482161,201.14701389336378,93.27967433261264,28.57895863870279,0.5898089171974522,0.9719745222929936,0.9929936305732484,MSAGAT-Net,region785,10,42,none,with_adj.loggrowth.quant,test,157
357.5598924991453,193.17852687322562,109.98907909298234,32.58648097321651,0.5764331210191083,0.9503184713375796,0.9821656050955414,MSAGAT-Net,region785,10,45,none,with_adj.loggrowth.quant,test,157
412.26876826839447,243.4538112772944,97.90525446717213,47.9149170928634,0.5515923566878981,0.9375796178343949,0.9738853503184713,MSAGAT-Net,region785,15,1000,none,with_adj.loggrowth.quant,test,157
456.9971812690872,271.4671147979293,131.92276275616805,27.75880920433397,0.640764331210191,0.9777070063694268,0.9942675159235669,MSAGAT-Net,region785,15,123,none,with_adj.loggrowth.quant,test,157
407.7884817733838,259.33990363222495,63.50932690322779,61.96090890445461,0.597452229299363,0.9579617834394905,0.9796178343949045,MSAGAT-Net,region785,15,30,none,with_adj.loggrowth.quant,test,157
458.77618872289275,263.63534190593214,137.25461423430735,31.69066368344417,0.5598726114649681,0.9713375796178344,0.9917197452229299,MSAGAT-Net,region785,15,42,none,with_adj.loggrowth.quant,test,157
446.79357954133644,266.53773036245116,95.77674698754382,59.02054054494778,0.5980891719745223,0.9694267515923567,0.9917197452229299,MSAGAT-Net,region785,15,45,none,with_adj.loggrowth.quant,test,157
209.15672062225383,118.68997157266068,58.566337348813335,19.801572968180047,0.7012738853503184,0.9643312101910828,0.9853503184713376,MSAGAT-Net,region785,3,1000,none,with_adj.loggrowth.quant,test,157
209.6801548371066,104.00885408541444,73.17423674813996,19.313786213868745,0.5847133757961783,0.9490445859872612,0.9834394904458599,MSAGAT-Net,region785,3,123,none,with_adj.loggrowth.quant,test,157
216.66025163036812,96.41678960501808,74.24746443413856,32.544882773877646,0.5726114649681529,0.9585987261146497,0.9859872611464968,MSAGAT-Net,region785,3,30,none,with_adj.loggrowth.quant,test,157
