dataset,horizon,rmse,rmse_persistence,sd_pred_over_true,bias,bias_pct_of_level,worst10pct_share,rmse_q1,rmse_persist_q1,level_q1,rmse_q2,rmse_persist_q2,level_q2,rmse_q3,rmse_persist_q3,level_q3,rmse_q4,rmse_persist_q4,level_q4,val_max,test_max,val_mean,test_mean,test_over_val_max,test_over_val_mean,test_trend
japan,5,1317.294075595411,2988.925514137371,0.6678062428563452,-187.08810297982671,-17.747340747165325,0.7541338064298353,1915.3099416949967,3936.984900315253,2280.327392578125,101.21784267572922,631.3075461376347,53.770687103271484,86.42369857664134,39.0690795502027,23.082603454589844,1800.7458213956838,4466.609218856235,1846.2415771484375,4159.595744680851,6029.531914893617,473.35531914893613,1054.17537993921,1.4495475726466873,2.2270276413805865,0.7713557985534466
japan,10,1780.915245859478,3362.9263146017247,0.4398621104278808,-408.5215872692482,-38.75271434347674,0.7617517012869784,2519.086613603223,4086.6775257369154,2280.327392578125,378.96883429300465,3136.3970606030502,53.770687103271484,81.85827434056326,42.91916884597519,23.082603454589844,2486.3481288060884,4297.2992058947275,1846.2415771484375,4159.595744680851,6029.531914893617,473.35531914893613,1054.17537993921,1.4495475726466873,2.2270276413805865,0.7713557985534466
japan,15,1769.0746163899344,3274.8108361484724,0.4646819853522795,-474.823165764671,-45.0421399504063,0.7603322813918709,2475.630087027464,3820.0283711289703,2280.327392578125,97.98795413973714,3804.019801374929,53.770687103271484,150.75115699818025,69.22397476758121,23.082603454589844,2522.804018722594,3658.095424434663,1846.2415771484375,4159.595744680851,6029.531914893617,473.35531914893613,1054.17537993921,1.4495475726466873,2.2270276413805865,0.7713557985534466
region785,3,671.8637891685506,803.4268042928064,0.7795431054463948,-141.64327553153797,-9.77169526505715,0.6987167951177725,915.248658970217,1099.7887154574028,1738.93994140625,468.457017339318,530.9180180634132,1407.341064453125,255.44931011601443,403.01155483465374,1113.294921875,820.5563820640225,955.870528022889,1531.107666015625,3989.6,4289.0,1225.4554140127389,1449.5261146496814,1.075045117304993,1.1828468813102109,0.8645241245913601
region785,5,795.3414538865752,1060.63003609294,0.7754354234000898,-131.13062772993828,-9.046448052574886,0.7138356784481534,1055.6108682840147,1400.0521393847882,1738.93994140625,547.5155857976346,702.2151343984523,1407.341064453125,466.1852678974461,622.5280807323929,1113.294921875,941.5430518601601,1279.6622037135946,1531.107666015625,3989.6,4289.0,1225.4554140127389,1449.5261146496814,1.075045117304993,1.1828468813102109,0.8645241245913601
region785,10,882.1403229135057,1550.030988063117,0.7945921116632972,-127.14193163009206,-8.771275633366459,0.5683382809689729,1132.74825502825,1921.6359647080665,1738.93994140625,682.1856122527597,783.4572957902217,1407.341064453125,577.2188533996596,1156.1215580758007,1113.294921875,1008.990293894721,1983.481254189292,1531.107666015625,3989.6,4289.0,1225.4554140127389,1449.5261146496814,1.075045117304993,1.1828468813102109,0.8645241245913601
region785,15,1085.5003113150035,1840.51672064201,0.6294567635095494,-250.61840809257168,-17.289678613433804,0.5732040549794762,1163.112131785832,2240.3889462838774,1738.93994140625,1021.2298323287853,989.8382896706058,1407.341064453125,500.7091447383938,1440.4087329908032,1113.294921875,1436.077647819016,2331.1510750784073,1531.107666015625,3989.6,4289.0,1225.4554140127389,1449.5261146496814,1.075045117304993,1.1828468813102109,0.8645241245913601
state360,3,155.80055099820055,209.17159682675415,0.810573218935032,-17.770387738588312,-7.7239993096825525,0.655243503876661,64.92078918486577,96.48894153426164,134.03854370117188,73.40936325393201,81.22399188126258,186.42404174804688,288.66067616726264,386.99496970119515,488.6428527832031,64.549340184829,96.6357511827699,111.16326904296875,739.3061224489796,778.3469387755102,271.3356009070295,230.06717687074828,1.0528073759178491,0.8479063421890537,0.8293380250714758
state360,5,181.37955158489157,270.81343701682835,0.7133244284313425,-23.53722705421737,-10.230588560756914,0.6581133708525301,66.53888784121442,173.77041116306137,134.03854370117188,101.67290192625605,113.43975123928169,186.42404174804688,325.06426680052675,445.86674325821417,488.6428527832031,105.65314382795037,226.93123402206,111.16326904296875,739.3061224489796,778.3469387755102,271.3356009070295,230.06717687074828,1.0528073759178491,0.8479063421890537,0.8293380250714758
state360,10,209.12601339740615,420.14456604351324,0.6628862497057226,-28.051667223796418,-12.192815455655367,0.6174078617174855,90.87634938523796,325.08189706937674,134.03854370117188,152.18768783037174,184.60027950153057,186.42404174804688,366.9062454738868,541.955786796193,488.6428527832031,94.31310484488226,522.1247433970348,111.16326904296875,739.3061224489796,778.3469387755102,271.3356009070295,230.06717687074828,1.0528073759178491,0.8479063421890537,0.8293380250714758
state360,15,235.53443327882877,497.4537610481587,0.7370870026315977,-14.479327606252667,-6.293521451561058,0.4732427347630523,112.93157112637536,392.84697722157017,134.03854370117188,205.80358627133197,229.82307907813492,186.42404174804688,382.6071522402277,567.4648684240444,488.6428527832031,142.8600301530355,678.7320571766421,111.16326904296875,739.3061224489796,778.3469387755102,271.3356009070295,230.06717687074828,1.0528073759178491,0.8479063421890537,0.8293380250714758
