dataset,horizon,seed,method,wis,wis_dispersion,wis_overprediction,wis_underprediction,cov50,cov90,cov95
japan,10,1000,uniform,504.9667157162933,323.15532129982904,116.39017131450203,33.038076700765046,0.5237082066869301,0.9458966565349544,0.9829787234042553
japan,10,123,raw,585.2059192533453,438.3065632880638,71.95754619430043,44.765231096344394,0.603951367781155,0.9480243161094225,0.9790273556231003
japan,10,123,identity,586.3035485668707,429.1557406289725,74.79948071317942,52.190100266765825,0.6218844984802432,0.9574468085106383,0.9826747720364741
japan,10,123,adjacency,586.1391097729513,430.22788500956386,74.40581947912452,51.281993795865375,0.6291793313069909,0.958966565349544,0.98419452887538
japan,10,123,uniform,586.1586014937434,429.89786139507623,74.53104213771724,51.47579268882529,0.6218844984802432,0.9565349544072949,0.9844984802431611
japan,10,30,raw,498.29549089709764,344.29439326358414,89.1842065845217,34.74610959975804,0.5693009118541034,0.9443768996960487,0.9768996960486322
japan,10,30,identity,498.3922866888338,340.28240886454677,90.74806373205213,37.330335514764734,0.5407294832826748,0.9434650455927052,0.9762917933130699
japan,10,30,adjacency,498.32307471909104,340.9400036802619,90.30204762041733,37.022010944147034,0.5395136778115501,0.9468085106382979,0.9787234042553191
japan,10,30,uniform,498.3100740811615,340.6588284102888,90.52291379865636,37.06724654263292,0.5376899696048633,0.9465045592705167,0.9781155015197568
japan,10,42,raw,477.0235532075881,251.97178173403907,161.24412171659498,32.03936184496771,0.4668693009118541,0.9416413373860182,0.9884498480243161
japan,10,42,identity,477.0956556688721,251.17195983819994,161.68163211020357,32.47601840087566,0.4513677811550152,0.9151975683890577,0.9756838905775076
japan,10,42,adjacency,477.0591013145249,251.4312936561238,161.53694662739647,32.32501060741493,0.44468085106382976,0.9237082066869301,0.9832826747720365
japan,10,42,uniform,477.08110532932096,251.34936181141182,161.60323885147395,32.36040048338359,0.4492401215805471,0.9237082066869301,0.9820668693009118
japan,10,45,raw,461.4417887944757,275.193809489609,130.92301618062285,19.806299494523362,0.5416413373860183,0.9355623100303951,0.9729483282674772
japan,10,45,identity,460.5341922363894,270.57041477582254,135.08794611822242,21.086998932179178,0.5519756838905775,0.9416413373860182,0.9775075987841946
japan,10,45,adjacency,460.5936349261732,271.3194162281821,134.6353546846444,20.702277513558286,0.5455927051671733,0.943161094224924,0.9781155015197568
japan,10,45,uniform,460.552317273217,270.8428278591475,135.1673491310235,20.750792759163026,0.548936170212766,0.9419452887537993,0.978419452887538
japan,15,1000,raw,504.92476577582426,287.8453654951041,159.89170383587845,24.935478042051724,0.5443768996960486,0.9340425531914893,0.9699088145896656
japan,15,1000,identity,504.8744459472726,286.67137026466537,160.01059444816642,25.94269132304415,0.5121580547112462,0.9322188449848025,0.9693009118541034
japan,15,1000,adjacency,504.87401310746924,287.16896009415103,159.85759494978606,25.597408696529776,0.5048632218844985,0.9337386018237082,0.9720364741641337
japan,15,1000,uniform,504.880754369987,286.86815031663525,160.10035619252392,25.660684166068652,0.501823708206687,0.9337386018237082,0.9708206686930091
japan,15,123,raw,538.3429020484864,373.0398702481034,106.6559097954977,27.832859443115307,0.6127659574468085,0.9768996960486322,0.9908814589665653
japan,15,123,identity,538.1215517784094,369.3075420892339,107.16393818249865,30.839075228297382,0.509726443768997,0.9537993920972644,0.9829787234042553
japan,15,123,adjacency,538.1672732849654,370.3466135963584,106.94373091962767,30.067595754313125,0.5085106382978724,0.9553191489361702,0.9872340425531915
japan,15,123,uniform,538.1135655447745,369.74652969075885,107.2526589959541,30.30599845334784,0.5051671732522797,0.9547112462006079,0.986322188449848
japan,15,30,raw,579.8150611564517,413.06713517098416,102.73497378488062,32.388550856426306,0.5844984802431611,0.9349544072948328,0.9613981762917934
japan,15,30,identity,579.5551638961339,411.0892711681336,102.54206114049882,34.34326978964426,0.5173252279635259,0.9224924012158054,0.958966565349544
japan,15,30,adjacency,579.6008648403483,411.9456291591495,102.19308321730092,33.86140500093303,0.5161094224924012,0.925531914893617,0.9613981762917934
japan,15,30,uniform,579.4980117654125,411.0756513270016,102.74432510423175,34.09372445404475,0.5109422492401215,0.9270516717325228,0.9610942249240122
japan,15,30,attention,579.5081741862418,411.1097165473188,102.71247761102244,34.09981698064015,0.5106382978723404,0.9264437689969605,0.9613981762917934
japan,15,42,raw,573.9644681408739,426.8459424788636,96.03199989560005,19.97083464074642,0.6382978723404256,0.956838905775076,0.9802431610942249
