model,dataset,window,horizon,ablation,seed,use_adj,timestamp,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak
MSTAGAT-Net,state360,20,3,none,45,False,20260127_025654,68.10734558105469,74.67845153808594,158.61328389553316,104.18509674072266,0.9345926642417908,0.8077902793884277,0.003237230470404,0.8726593255996704,-0.1974256932735443,0.8732489943504333,0.2080579549074173,109.10242462158205
MSTAGAT-Net,state360,20,3,none,123,False,20260127_025736,74.08502960205078,83.39287567138672,177.25519540164402,115.73436737060548,0.917302429676056,0.7118400931358337,0.0033290944993495,0.8409674763679504,-0.1293547451496124,0.8414401412010193,0.1616573482751846,124.12525177001952
MSTAGAT-Net,state360,20,3,none,1000,False,20260127_025805,73.41141510009766,86.06370544433594,185.3969874856385,118.39208221435548,0.909666895866394,0.6898196339607239,0.0026537461671978,0.8260223865509033,0.1018257886171341,0.8263813257217407,0.2468454390764236,133.47238159179688
EpiSIG-Net-V3,state360,20,5,none,1,True,20260204_203310,91.62554931640624,106.26299285888672,216.6874188779773,141.87576293945312,0.8802343606948853,0.646807074546814,0.0036023510619997,0.7623403668403625,-0.8120155930519104,0.7634641528129578,-0.3169125914573669,160.3912353515625
EpiSIG-Net-V3,state360,20,5,none,2,True,20260204_203357,90.0660400390625,104.56906127929688,220.0474203154856,142.4444122314453,0.8712978363037109,0.6237030029296875,0.003530723741278,0.7549128532409668,-0.5134184956550598,0.7549436092376709,-0.1261664181947708,163.1505584716797
EpiSIG-Net-V3,state360,20,5,none,3,True,20260204_203437,91.47518157958984,100.29134368896484,206.354500041797,139.3546142578125,0.8876942992210388,0.643242359161377,0.0039542252197861,0.7844659090042114,-0.846678614616394,0.7846314311027527,-0.2709479928016662,161.39085388183594
EpiSIG-Net-V3,state360,20,5,none,4,True,20260204_203526,84.5995101928711,94.48822021484376,195.7386251484361,129.94239807128906,0.8989757895469666,0.6892555356025696,0.0039633330889046,0.8060717582702637,-0.3711472749710083,0.8061888217926025,-0.0063756690360605,147.90748596191406
MSTAGAT-Net,state360,20,5,none,5,False,20260127_025853,90.97650909423828,100.96144104003906,212.88526656100464,139.40554809570312,0.8855489492416382,0.6927741169929504,0.0043535646982491,0.7706074714660645,-0.889240026473999,0.7729611396789551,-0.0986930206418037,151.01901245117188
EpiSIG-Net-V3,state360,20,5,none,5,True,20260204_203648,89.36563873291016,105.23736572265624,212.60008672387696,137.06056213378906,0.8795569539070129,0.6478273272514343,0.0037642198149114,0.7712216973304749,-0.2597541511058807,0.7712324857711792,0.064014047384262,160.69970703125
EpiSIG-Net-V3,state360,20,5,none,6,True,20260204_203755,88.02738952636719,102.11256408691406,210.3224087561761,135.0928192138672,0.8817203044891357,0.6454588174819946,0.0045710424892604,0.7760974168777466,-0.4130491912364959,0.7763962149620056,0.0933808237314224,151.24484252929688
EpiSIG-Net-V3,state360,20,5,none,7,True,20260204_203845,83.1683349609375,92.88543701171876,188.9123060443655,126.39600372314452,0.9079768061637878,0.7213172912597656,0.0034602042287588,0.8193622827529907,-0.4087239503860473,0.8198204636573792,0.001381529844366,145.93817138671875
EpiSIG-Net-V3,state360,20,5,none,8,True,20260204_203953,89.78363800048828,110.52165985107422,221.9779690644997,140.21011352539062,0.8735805749893188,0.6339702010154724,0.0026934375055134,0.7505935430526733,-0.3373657464981079,0.7507644891738892,-0.0541557297110557,164.173095703125
EpiSIG-Net-V3,state360,20,5,none,9,True,20260204_204045,94.95686340332033,105.37095642089844,222.64987929482467,147.54281616210938,0.8679843544960022,0.6155135631561279,0.0047075157053768,0.7490813732147217,-0.8746635913848877,0.7494173049926758,-0.3003977835178375,165.729248046875
EpiSIG-Net-V3,state360,20,5,none,10,True,20260204_204135,89.07563781738281,101.28144073486328,209.7335176777904,137.35939025878906,0.8873343467712402,0.6627402305603027,0.0036057049874216,0.7773494720458984,-0.4600042700767517,0.7790977954864502,-0.040005125105381,154.80233764648438
EpiSIG-Net,state360,20,5,none,20,True,20260202_233839,86.9103775024414,100.8383331298828,204.99075817582607,134.62521362304688,0.9002368450164795,0.6940610408782959,0.0018382346024736,0.7873053550720215,-0.5078995823860168,0.7894606590270996,-0.2158762663602829,156.18434143066406
MSTAGAT-Net,state360,20,5,none,30,False,20260127_025941,98.2053680419922,117.3031005859375,239.64980146820488,153.23756408691406,0.849441647529602,0.5918145179748535,0.0033929836936295,0.7093019485473633,-1.2797226905822754,0.7098320722579956,-0.6500419974327087,172.47891235351562
