model,dataset,window,horizon,ablation,seed,use_adj,timestamp,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak,sim_mat
MSAGAT-Net,japan,20,3,no_agam,5,False,20260410_023001,470.6806640625,406.8712463378906,1320.8700730957603,959.20263671875,0.8699973821640015,0.8711040019989014,,0.7086153626441956,0.702644944190979,0.7135380506515503,0.7173877358436584,1162.5081787109375,default
MSTAGAT-Net,japan,20,3,no_agam,5,True,20260209_075943,531.2412719726562,479.6327819824219,1354.136209913907,968.6477661132812,0.8603807687759399,0.8743546605110168,0.0682720765471458,0.6937534809112549,0.7086989283561707,0.7036751508712769,0.7323415279388428,1193.1744384765625,default
MSTAGAT-Net,japan,20,3,no_agam,42,True,20260209_101430,571.0767211914062,535.6414794921875,1474.156708087712,1067.797607421875,0.8103137016296387,0.8208678364753723,0.0189299695193767,0.6370608806610107,0.6429564952850342,0.6391762495040894,0.6510180234909058,1330.7548828125,default
MSAGAT-Net.loggrowth.quant,japan,20,3,no_agam,42,True,20260819_020115,520.4796796082363,478.1966979056192,1567.9662044550273,1124.87278807365,0.7702084088692339,0.7801288065486996,,0.5893991454077409,0.5985516385672782,0.5931976592338387,0.6091328496851068,1365.135535125667,default
EpiSIG-Net-V3,japan,20,3,no_mtfm,1,True,20260204_211803,384.0805358886719,353.53204345703125,1130.6706527543731,816.55078125,0.8755521774291992,0.8894777297973633,0.0301930028945207,0.6963993310928345,0.7151117324829102,0.7006255984306335,0.7260259389877319,1181.687255859375,default
MSAGAT-Net,japan,20,3,no_mtfm,5,False,20260410_023058,485.7198181152344,474.72705078125,1364.744710559451,964.3550415039062,0.8371614813804626,0.8608766794204712,,0.6889363527297974,0.7203977704048157,0.6903774738311768,0.7262122631072998,1200.6727294921875,default
MSTAGAT-Net,japan,20,3,no_mtfm,5,True,20260209_080104,524.2421875,500.6588134765625,1372.0542992170535,980.83935546875,0.8649070262908936,0.8832588195800781,0.0259235892444849,0.6855952739715576,0.706811785697937,0.6918401718139648,0.7214925289154053,1204.4385986328125,default
MSTAGAT-Net,japan,20,3,no_mtfm,42,True,20260209_101526,475.6096496582031,447.9019775390625,1366.5798092317916,969.4168090820312,0.8409011960029602,0.861200749874115,0.0409869216382503,0.6880992650985718,0.7141016721725464,0.6914952993392944,0.7235119342803955,1168.8031005859375,default
EpiSIG-Net-V3,japan,20,3,no_pprm,1,True,20260204_212325,384.0805358886719,353.53204345703125,1130.6706527543731,816.55078125,0.8755521774291992,0.8894777297973633,0.0301930028945207,0.6963993310928345,0.7151117324829102,0.7006255984306335,0.7260259389877319,1181.687255859375,default
MSAGAT-Net,japan,20,3,no_pprm,5,False,20260410_023145,575.8237915039062,491.3786315917969,1448.6894939910346,1068.068115234375,0.8650845289230347,0.8655370473861694,,0.6494927406311035,0.6389379501342773,0.6667907238006592,0.6769745945930481,1343.0819091796875,default
MSTAGAT-Net,japan,20,3,no_pprm,5,True,20260209_080204,528.0379028320312,456.7615051269531,1306.538604481322,954.1273803710938,0.8935506343841553,0.8962555527687073,0.0661544948816299,0.7149040699005127,0.7097810506820679,0.7272260189056396,0.7427018284797668,1235.1796875,default
MSTAGAT-Net,japan,20,3,no_pprm,42,True,20260209_101621,465.8602600097656,428.4584655761719,1305.6039790074171,935.3292236328124,0.8562021255493164,0.8715647459030151,0.0154752451926469,0.7153118848800659,0.7280879020690918,0.7174128293991089,0.7381436824798584,1156.1221923828125,default
EpiSIG-Net-V3,japan,20,3,none,1,True,20260204_211039,384.0805358886719,353.53204345703125,1130.6706527543731,816.55078125,0.8755521774291992,0.8894777297973633,0.0301930028945207,0.6963993310928345,0.7151117324829102,0.7006255984306335,0.7260259389877319,1181.687255859375,default
EpiSIG-Net-V5,japan,20,3,none,2,True,20260204_113313,325.4002380371094,292.6399841308594,1060.96200450346,759.7560424804688,0.8776347041130066,0.8958790302276611,0.0141642922535538,0.7326807975769043,0.7545210719108582,0.737910270690918,0.7668315768241882,1114.53955078125,default
EpiSIG-Net-V5,japan,20,3,none,3,True,20260204_113344,324.3183898925781,302.51397705078125,1055.2199415287791,754.7261352539062,0.8775025606155396,0.8967733383178711,0.0073865591548383,0.7355664968490601,0.7593258023262024,0.7414160966873169,0.7721806168556213,1109.094482421875,default
EpiSIG-Net-V5,japan,20,3,none,4,True,20260204_113438,341.0492248535156,315.25372314453125,1063.2206967511495,764.2945556640625,0.8832299113273621,0.9008288979530334,0.0139276171103119,0.7315413951873779,0.7536648511886597,0.7392346858978271,0.7694767713546753,1116.398681640625,default
MSAGAT-Net,japan,20,3,none,5,False,20260410_022833,567.1295776367188,509.9065246582031,1529.6806856334429,1108.51318359375,0.8090478777885437,0.816365122795105,,0.6092059016227722,0.6119235754013062,0.6142727136611938,0.6248558759689331,1346.7718505859375,default
MSTAGAT-Net,japan,20,3,none,5,True,20260209_075827,510.0730895996094,466.8773193359375,1428.0663499991867,1022.7373657226562,0.8414162993431091,0.8560270071029663,0.0264795180410146,0.6594011187553406,0.6763234734535217,0.6668636202812195,0.6932643055915833,1251.5682373046875,default
EpiSIG-Net-V5,japan,20,3,none,6,True,20260204_113538,369.7478942871094,337.2212829589844,1219.6131046360565,871.2005615234375,0.8237735033035278,0.8509690165519714,0.0322195999324321,0.646756112575531,0.6818243861198425,0.6501619815826416,0.6909915208816528,1226.8509521484375,default
EpiSIG-Net-V5,japan,20,3,none,7,True,20260204_113613,315.8934326171875,291.1742858886719,1019.575125971598,729.7527465820312,0.8874950408935547,0.9046680927276612,0.0147324297577142,0.7531296610832214,0.7748319506645203,0.7551335096359253,0.7804016470909119,1041.8505859375,default
