# MSTAGAT-Net Experiment Results
# Format: [Timestamp] Model | Dataset, Window, Horizon, Ablation, Seed | Metrics
# ================================================================================
[20260204_165105] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 2 | MAE: 70.1372, RMSE: 145.3469, PCC: 0.7546, R2: 0.5521
[20260204_165242] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 2 | MAE: 98.2168, RMSE: 190.6200, PCC: 0.6126, R2: 0.2296
[20260204_165326] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 2 | MAE: 98.2168, RMSE: 190.6200, PCC: 0.6126, R2: 0.2296
[20260204_165934] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 3 | MAE: 70.7383, RMSE: 146.5862, PCC: 0.7569, R2: 0.5444
[20260204_170116] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 3 | MAE: 70.7383, RMSE: 146.5862, PCC: 0.7569, R2: 0.5444
[20260204_170337] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 3 | MAE: 93.8437, RMSE: 184.8758, PCC: 0.6209, R2: 0.2754
[20260204_170421] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 3 | MAE: 93.8437, RMSE: 184.8758, PCC: 0.6209, R2: 0.2754
[20260204_171129] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 4 | MAE: 99.3120, RMSE: 196.5842, PCC: 0.6184, R2: 0.1807
[20260204_171214] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 4 | MAE: 99.3120, RMSE: 196.5842, PCC: 0.6184, R2: 0.1807
[20260204_171256] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 4 | MAE: 69.4902, RMSE: 144.1396, PCC: 0.7586, R2: 0.5595
[20260204_171438] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 4 | MAE: 69.4902, RMSE: 144.1396, PCC: 0.7586, R2: 0.5595
[20260204_171805] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 5 | MAE: 93.6008, RMSE: 177.2396, PCC: 0.6126, R2: 0.3340
[20260204_171850] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 5 | MAE: 93.6008, RMSE: 177.2396, PCC: 0.6126, R2: 0.3340
[20260204_172337] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 5 | MAE: 70.5656, RMSE: 146.0959, PCC: 0.7537, R2: 0.5475
[20260204_172505] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 6 | MAE: 94.0814, RMSE: 176.3842, PCC: 0.6109, R2: 0.3404
[20260204_172519] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 5 | MAE: 70.5656, RMSE: 146.0959, PCC: 0.7537, R2: 0.5475
[20260204_172550] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 6 | MAE: 94.0814, RMSE: 176.3842, PCC: 0.6109, R2: 0.3404
[20260204_173339] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 6 | MAE: 70.6949, RMSE: 146.3329, PCC: 0.7548, R2: 0.5460
[20260204_173522] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 6 | MAE: 70.6949, RMSE: 146.3329, PCC: 0.7548, R2: 0.5460
[20260204_173532] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 7 | MAE: 96.7816, RMSE: 188.5777, PCC: 0.6077, R2: 0.2461
[20260204_173618] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 7 | MAE: 96.7816, RMSE: 188.5777, PCC: 0.6077, R2: 0.2461
[20260204_174322] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 8 | MAE: 95.6834, RMSE: 185.7811, PCC: 0.6154, R2: 0.2683
[20260204_174409] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 8 | MAE: 95.6834, RMSE: 185.7811, PCC: 0.6154, R2: 0.2683
[20260204_174825] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 9 | MAE: 97.1001, RMSE: 184.2473, PCC: 0.5982, R2: 0.2803
[20260204_174829] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 7 | MAE: 71.0095, RMSE: 147.3668, PCC: 0.7523, R2: 0.5396
[20260204_174911] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 9 | MAE: 97.1001, RMSE: 184.2473, PCC: 0.5982, R2: 0.2803
[20260204_175012] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 7 | MAE: 71.0095, RMSE: 147.3668, PCC: 0.7523, R2: 0.5396
[20260204_175602] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 10 | MAE: 94.3497, RMSE: 185.3996, PCC: 0.6113, R2: 0.2713
[20260204_175623] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 8 | MAE: 73.1088, RMSE: 149.4857, PCC: 0.7428, R2: 0.5262
[20260204_175642] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 10 | MAE: 94.3497, RMSE: 185.3996, PCC: 0.6113, R2: 0.2713
[20260204_175745] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 8 | MAE: 73.1088, RMSE: 149.4857, PCC: 0.7428, R2: 0.5262
[20260204_180738] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 9 | MAE: 70.1059, RMSE: 146.0984, PCC: 0.7556, R2: 0.5475
