model,dataset,window,horizon,ablation,seed,use_adj,timestamp,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak,sim_mat
MSAGAT-Net.loggrowth.quant.exp-nodecay-regpre,ltla_timeseries,20,3,none,1000,True,20260819_093155,22.07851664832599,19.58275605334844,49.482141600732895,34.63086871731356,0.9449311507642956,0.931707658631776,,0.8923278935698649,0.852635707547959,0.8924048991454705,0.8587018278125658,24.7862202243064,default
EpiSIG-Net-V3,ltla_timeseries,20,7,no_agam,1,True,20260204_231559,70.75685119628906,51.71232604980469,146.6710552136992,116.94269561767578,0.7534520626068115,0.6375502943992615,3.8785152867149015e-08,0.5439150929450989,0.3314184844493866,0.566352128982544,0.4059778153896332,75.54953002929688,default
MSAGAT-Net,ltla_timeseries,20,7,no_agam,5,False,20260410_161831,44.39338684082031,34.33725357055664,81.55938392036045,63.44144821166992,0.8452049493789673,0.7277677059173584,,0.7074810266494751,0.4872080981731415,0.7118709087371826,0.5263431668281555,48.82939147949219,default
MSTAGAT-Net,ltla_timeseries,20,7,no_agam,5,True,20260209_081947,42.891387939453125,33.67073440551758,79.76753027842062,61.45199203491211,0.8576224446296692,0.7551651000976562,3.8550908243450976e-08,0.7201930284500122,0.5181497931480408,0.7286299467086792,0.5674713253974915,47.13652801513672,default
MSAGAT-Net,ltla_timeseries,20,7,no_agam,42,True,20260410_204208,44.33743667602539,36.1712760925293,85.03510304574223,65.19905090332031,0.8457352519035339,0.7426643967628479,,0.6820179224014282,0.4576677978038788,0.6990396976470947,0.5309644937515259,49.58636474609375,default
EpiSIG-Net-V3,ltla_timeseries,20,7,no_mtfm,1,True,20260204_233846,70.75685119628906,51.71232604980469,146.6710552136992,116.94269561767578,0.7534520626068115,0.6375502943992615,3.8785152867149015e-08,0.5439150929450989,0.3314184844493866,0.566352128982544,0.4059778153896332,75.54953002929688,default
MSAGAT-Net,ltla_timeseries,20,7,no_mtfm,5,False,20260410_162200,43.35097122192383,35.186038970947266,83.20286238221465,63.88761520385742,0.8508914709091187,0.750676691532135,,0.6955733299255371,0.484264999628067,0.71222984790802,0.5493512153625488,48.56899642944336,default
MSTAGAT-Net,ltla_timeseries,20,7,no_mtfm,5,True,20260209_083502,45.09684753417969,35.26512145996094,83.99261151471896,65.35296630859375,0.8375937342643738,0.7120086550712585,3.758446709412056e-08,0.6897667050361633,0.456418514251709,0.7000132203102112,0.4963447451591491,50.51421737670898,default
MSAGAT-Net,ltla_timeseries,20,7,no_mtfm,42,True,20260410_204639,43.59727096557617,35.83309555053711,84.43401003612969,64.54634094238281,0.8485846519470215,0.7508018016815186,,0.6864974498748779,0.4749175012111664,0.7055841088294983,0.5474357008934021,48.891578674316406,default
EpiSIG-Net-V3,ltla_timeseries,20,7,no_pprm,1,True,20260205_000142,70.75685119628906,51.71232604980469,146.6710552136992,116.94269561767578,0.7534520626068115,0.6375502943992615,3.8785152867149015e-08,0.5439150929450989,0.3314184844493866,0.566352128982544,0.4059778153896332,75.54953002929688,default
MSAGAT-Net,ltla_timeseries,20,7,no_pprm,5,False,20260410_162912,45.67057418823242,37.62929534912109,87.98937646724035,66.61913299560547,0.8288189768791199,0.7485064268112183,,0.659539520740509,0.4436412155628204,0.6705938577651978,0.5291495323181152,50.21871948242188,default
MSTAGAT-Net,ltla_timeseries,20,7,no_pprm,5,True,20260209_084814,43.44158935546875,33.73530197143555,80.45389729431228,62.51562881469727,0.8499199748039246,0.7417489290237427,3.7665326857450054e-08,0.7153570652008057,0.5025898218154907,0.7199355959892273,0.5378562211990356,48.36208724975586,default
MSAGAT-Net,ltla_timeseries,20,7,no_pprm,42,True,20260410_205459,45.981101989746094,38.288841247558594,89.60601971704385,67.58425903320312,0.8326746821403503,0.7457765936851501,,0.6469139456748962,0.4327459931373596,0.669357419013977,0.5304693579673767,51.05483627319336,default
EpiSIG-Net-V3,ltla_timeseries,20,7,none,1,True,20260204_225308,70.75685119628906,51.71232604980469,146.6710552136992,116.94269561767578,0.7534520626068115,0.6375502943992615,3.8785152867149015e-08,0.5439150929450989,0.3314184844493866,0.566352128982544,0.4059778153896332,75.54953002929688,default
EpiSIG-Net-V3,ltla_timeseries,20,7,none,2,True,20260204_165105,70.1372299194336,51.12923431396485,145.34687765394204,115.81680297851562,0.754562497138977,0.6408651471138,3.9037971077959817e-08,0.5521131753921509,0.3470512330532074,0.5692737102508545,0.4072150886058807,74.85279846191406,default
EpiSIG-Net-V3,ltla_timeseries,20,7,none,3,True,20260204_170116,70.73828125,51.922584533691406,146.58616546676566,116.86774444580078,0.7569189667701721,0.64389568567276,3.772598589080189e-08,0.544442892074585,0.3347281217575073,0.5717542171478271,0.4129784405231476,75.7560043334961,default
EpiSIG-Net-V3,ltla_timeseries,20,7,none,4,True,20260204_171438,69.49015045166016,51.12590408325195,144.13960788936538,114.58565521240234,0.7585700750350952,0.6419503092765808,4.0432766468256887e-08,0.5595226883888245,0.3602822422981262,0.5748093128204346,0.4118230640888214,73.85865783691406,default
